n,(3/2)^n,n^3,(lg n)^2,lg(n!),2^(2n),log(log n),lg n,n*2^n,ln n,e^n,n!
30,191751.0592328841,27000,24.0775753173,107.7090673420,1152921504606846976.0000000000,1.2241275407,4.9068905956,32212254720.0000000000,3.4011973817,10686474581524.4628906250,2432902008176640000
31,287626.5888493261,29791,24.5440610819,112.6632636524,4611686018427387904.0000000000,1.2337220363,4.9541963104,66571993088.0000000000,3.4339872045,29048849665247.4257812500,2432902008176640000
32,431439.8832739892,32768,25.0000000000,117.6632636524,18446744073709551616.0000000000,1.2429249919,5.0000000000,137438953472.0000000000,3.4657359028,78962960182680.6875000000,2432902008176640000
33,647159.8249109838,35937,25.4459120314,122.7076577717,73786976294838206464.0000000000,1.2517646307,5.0443941194,283467841536.0000000000,3.4965075615,214643579785916.0625000000,2432902008176640000
34,970739.7373664757,39304,25.8822781611,127.7951206130,295147905179352825856.0000000000,1.2602663262,5.0874628413,584115552256.0000000000,3.5263605246,583461742527454.8750000000,2432902008176640000
35,1456109.6060497134,42875,26.3095442679,132.9244036299,1180591620717411303424.0000000000,1.2684529661,5.1292830169,1202590842880.0000000000,3.5553480615,1586013452313430.7500000000,2432902008176640000
36,2184164.4090745705,46656,26.7281245205,138.0943286314,4722366482869645213696.0000000000,1.2763452613,5.1699250014,2473901162496.0000000000,3.5835189385,4311231547115195.0000000000,2432902008176640000
37,3276246.6136118555,50653,27.1384043687,143.3037819970,18889465931478580854784.0000000000,1.2839620095,5.2094533656,5085241278464.0000000000,3.6109179126,11719142372802612.0000000000,2432902008176640000
38,4914369.9204177829,54872,27.5407431864,148.5517095104,75557863725914323419136.0000000000,1.2913203187,5.2479275134,10445360463872.0000000000,3.6375861597,31855931757113756.0000000000,2432902008176640000
39,7371554.8806266747,59319,27.9354766152,153.8371117293,302231454903657293676544.0000000000,1.2984358016,5.2854022189,21440476741632.0000000000,3.6635616461,86593400423993744.0000000000,2432902008176640000
40,11057332.3209400121,64000,28.3229186472,159.1590398242,1208925819614629174706176.0000000000,1.3053227410,5.3219280949,43980465111040.0000000000,3.6888794541,235385266837020000.0000000000,2432902008176640000
41,16585998.4814100191,68921,28.7033634822,164.5165918288,4835703278458516698824704.0000000000,1.3119942346,5.3575520046,90159953477632.0000000000,3.7135720667,639843493530054912.0000000000,2432902008176640000
42,24878997.7221150286,74088,29.0770871880,169.9089092516,19342813113834066795298816.0000000000,1.3184623205,5.3923174228,184717953466368.0000000000,3.7376696183,1739274941520500992.0000000000,2432902008176640000
43,37318496.5831725374,79507,29.4443491881,175.3351740063,77371252455336267181195264.0000000000,1.3247380862,5.4262647547,378231999954944.0000000000,3.7612001157,4727839468229346304.0000000000,2432902008176640000
44,55977744.8747588098,85184,29.8053935986,180.7946056249,309485009821345068724781056.0000000000,1.3308317646,5.4594316186,774056185954304.0000000000,3.7841896339,12851600114359308288.0000000000,2432902008176640000
45,83966617.3121382147,91125,30.1604504317,186.2864587212,1237940039285380274899124224.0000000000,1.3367528183,5.4918530963,1583296743997440.0000000000,3.8066624898,34934271057485094912.0000000000,2432902008176640000
46,125949925.9682073295,97336,30.5097366824,191.8100206773,4951760157141521099596496896.0000000000,1.3425100135,5.5235619561,3236962232172544.0000000000,3.8286413965,94961194206024482816.0000000000,2432902008176640000
47,188924888.9523109794,103823,30.8534573112,197.3646095290,19807040628566084398385987584.0000000000,1.3481114857,5.5545888517,6614661952700416.0000000000,3.8501476017,258131288619006754816.0000000000,2432902008176640000
48,283387333.4284664989,110592,31.1918061345,202.9495720297,79228162514264337593543950336.0000000000,1.3535647976,5.5849625007,13510798882111488.0000000000,3.8712010109,701673591209763143680.0000000000,2432902008176640000
49,425081000.1426997185,117649,31.5249666336,208.5642818738,316912650057057350374175801344.0000000000,1.3588769911,5.6147098441,27584547717644288.0000000000,3.8918202981,1907346572495099789312.0000000000,2432902008176640000
50,637621500.2140495777,125000,31.8531126909,214.2081380636,1267650600228229401496703205376.0000000000,1.3640546329,5.6438561898,56294995342131200.0000000000,3.9120230054,5184705528587072045056.0000000000,2432902008176640000
51,956432250.3210743666,132651,32.1764092602,219.8805634056,5070602400912917605986812821504.0000000000,1.3691038556,5.6724253420,114841790497947648.0000000000,3.9318256327,14093490824269388578816.0000000000,2432902008176640000
52,1434648375.4816114902,140608,32.4950129802,225.5810031237,20282409603651670423947251286016.0000000000,1.3740303948,5.7004397181,234187180623265792.0000000000,3.9512437186,38310080007165769154560.0000000000,2432902008176640000
53,2151972563.2224173546,148877,32.8090727338,231.3089235783,81129638414606681695789005144064.0000000000,1.3788396219,5.7279204546,477381560501272576.0000000000,3.9702919136,104137594330290885492736.0000000000,2432902008176640000
54,3227958844.8336262703,157464,33.1187301626,237.0638110804,324518553658426726783156020576256.0000000000,1.3835365736,5.7548875022,972777519512027136.0000000000,3.9889840466,283075330327469394755584.0000000000,2432902008176640000
55,4841938267.2504386902,166375,33.4241201372,242.8451707940,1298074214633706907132624082305024.0000000000,1.3881259790,5.7813597135,1981583836043018240.0000000000,4.0073331852,769478526514201752502272.0000000000,2432902008176640000
56,7262907400.8756589890,175616,33.7253711907,248.6525257160,5192296858534827628530496329220096.0000000000,1.3926122836,5.8073549221,4035225266123964416.0000000000,4.0253516907,2091659496012996103110656.0000000000,2432902008176640000
57,10894361101.3134880066,185193,34.0226059173,254.4854157302,20769187434139310514121985316880384.0000000000,1.3969996712,5.8328900142,8214565720323784704.0000000000,4.0430512678,5685719999335932014624768.0000000000,2432902008176640000
58,16341541651.9702320099,195112,34.3159413393,260.3433967253,83076749736557242056487941267521536.0000000000,1.4012920836,5.8579809951,16717361816799281152.0000000000,4.0604430105,15455389355901039182610432.0000000000,2432902008176640000
59,24512312477.9553489685,205379,34.6054892462,266.2260397747,332306998946228968225951765070086144.0000000000,1.4054932385,5.8826430494,34011184385901985792.0000000000,4.0775374439,42012104037905144311971840.0000000000,2432902008176640000
60,36768468716.9330215454,216000,34.8913565085,272.1329303703,1329227995784915872903807060280344576.0000000000,1.4096066464,5.9068905956,69175290276410818560.0000000000,4.0943445622,114200738981568423454048256.0000000000,2432902008176640000
61,55152703075.3995285034,226981,35.1736453672,278.0636677078,5316911983139663491615228241121378304.0000000000,1.4136356249,5.9307373376,140656423562035331072.0000000000,4.1108738642,310429793570191987473121280.0000000000,2432902008176640000
62,82729054613.0993041992,238328,35.4524537026,284.0178640182,21267647932558653966460912964485513216.0000000000,1.4175833126,5.9541963104,285924533142498050048.0000000000,4.1271343850,843835666874145383188004864.0000000000,2432902008176640000
63,124093581919.6489410400,250047,35.7278752839,289.9951439417,85070591730234615865843651857942052864.0000000000,1.4214526816,5.9772799235,581072438321850875904.0000000000,4.1431347264,2293783159469609954760982528.0000000000,2432902008176640000
64,186140372879.4734191895,262144,36.0000000000,295.9951439417,340282366920938463463374607431768211456.0000000000,1.4252465486,6.0000000000,1180591620717411303424.0000000000,4.1588830834,6235149080811616743911849984.0000000000,2432902008176640000
65,279210559319.2101440430,274625,36.2689140754,302.0175117548,1361129467683753853853498429727072845824.0000000000,1.4289675858,6.0223678130,2398076729582241710080.0000000000,4.1743872699,16948892444103337803358666752.0000000000,2432902008176640000
66,418815838978.8151855469,287496,36.5347002701,308.0619058741,5444517870735015415413993718908291383296.0000000000,1.4326183301,6.0443941194,4869940435459321626624.0000000000,4.1896547420,46071866343312917806440251392.0000000000,2432902008176640000
67,628223758468.2227783203,300763,36.7974380666,314.1279950646,21778071482940061661655974875633165533184.0000000000,1.4362011919,6.0660891905,9887454823508319666176.0000000000,4.2046926194,125236317084221369326178926592.0000000000,2432902008176640000
68,942335637702.3342285156,314432,37.0572038436,320.2154579058,87112285931760246646623899502532662132736.0000000000,1.4397184637,6.0874628413,20070057552195992158208.0000000000,4.2195077052,340427604993174075826736463872.0000000000,2432902008176640000
69,1413503456553.5012207031,328509,37.3140710391,326.3239823626,348449143727040986586495598010130648530944.0000000000,1.4431723270,6.1085244568,40730410914750689968128.0000000000,4.2341065046,925378172558778718688878002176.0000000000,2432902008176640000
70,2120255184830.2519531250,343000,37.5681103018,332.4532653795,1393796574908163946345982392040522594123776.0000000000,1.4465648595,6.1292830169,82641413450218791239680.0000000000,4.2484952420,2515438670919166879789330989056.0000000000,2432902008176640000
71,3180382777245.3779296875,357911,37.8193896339,338.6030124990,5575186299632655785383929568162090376495104.0000000000,1.4498980416,6.1497471195,167644010141872405086208.0000000000,4.2626798770,6837671229762744147024034136064.0000000000,2432902008176640000
